in s,C3 in V
-3.89803E-03,-2.099E-03
-3.89783E-03,-2.099E-03
-3.89763E-03,-1.709E-03
-3.89742E-03,-1.904E-03
-3.89722E-03,-3.271E-03
-3.89702E-03,-9.273E-04
-3.89682E-03,-1.709E-03
-3.89662E-03,-1.318E-03
-3.89642E-03,-9.273E-04
-3.89621E-03,-7.320E-04
-3.89601E-03,-7.320E-04
-3.89581E-03,-5.367E-04
-3.89561E-03,-9.273E-04
-3.89541E-03,-5.367E-04
-3.89521E-03,-7.320E-04
-3.89500E-03,-1.318E-03
-3.89480E-03,-9.273E-04
-3.89460E-03,-1.461E-04
-3.89440E-03,-9.273E-04
-3.89420E-03,-1.461E-04
-3.89400E-03,4.922E-05
-3.89380E-03,6.352E-04
-3.89359E-03,-1.461E-04
-3.89339E-03,6.352E-04
-3.89319E-03,-1.461E-04
-3.89299E-03,2.445E-04
-3.89279E-03,1.026E-03
-3.89259E-03,4.398E-04
-3.89238E-03,8.305E-04
-3.89218E-03,2.445E-04
-3.89198E-03,-5.367E-04
-3.89178E-03,2.445E-04
-3.89158E-03,2.445E-04
-3.89138E-03,-5.367E-04
-3.89117E-03,-1.461E-04
-3.89097E-03,-1.461E-04
-3.89077E-03,-1.461E-04
-3.89057E-03,4.922E-05
-3.89037E-03,-5.367E-04
-3.89017E-03,4.922E-05
-3.88996E-03,2.445E-04
-3.88976E-03,-9.273E-04
-3.88956E-03,-1.123E-03
-3.88936E-03,-2.099E-03
-3.88916E-03,-3.414E-04
-3.88896E-03,-5.367E-04
-3.88876E-03,-9.273E-04
-3.88855E-03,-5.367E-04
-3.88835E-03,-9.273E-04
-3.88815E-03,4.922E-05
-3.88795E-03,-3.414E-04
-3.88775E-03,-5.367E-04
-3.88755E-03,-9.273E-04
-3.88734E-03,-3.414E-04
-3.88714E-03,-9.273E-04
-3.88694E-03,-7.320E-04
-3.88674E-03,-1.318E-03
-3.88654E-03,-5.367E-04
-3.88634E-03,-1.513E-03
-3.88613E-03,-1.318E-03
-3.88593E-03,-5.367E-04
-3.88573E-03,4.922E-05
-3.88553E-03,-1.123E-03
-3.88533E-03,-3.414E-04
-3.88513E-03,4.398E-04
-3.88492E-03,1.026E-03
-3.88472E-03,4.922E-05
-3.88452E-03,4.922E-05
-3.88432E-03,-1.461E-04
-3.88412E-03,4.398E-04
-3.88392E-03,4.398E-04
-3.88372E-03,4.922E-05
-3.88351E-03,-1.318E-03
-3.88331E-03,1.026E-03
-3.88311E-03,4.922E-05
-3.88291E-03,4.398E-04
-3.88271E-03,2.445E-04
-3.88251E-03,6.352E-04
-3.88230E-03,-7.320E-04
-3.88210E-03,-3.414E-04
-3.88190E-03,-3.414E-04
-3.88170E-03,-3.414E-04
-3.88150E-03,4.398E-04
-3.88130E-03,4.922E-05
-3.88109E-03,2.445E-04
-3.88089E-03,-7.320E-04
-3.88069E-03,-1.123E-03
-3.88049E-03,-7.320E-04
-3.88029E-03,4.922E-05
-3.88009E-03,-9.273E-04
-3.87988E-03,-7.320E-04
-3.87968E-03,-1.318E-03
-3.87948E-03,-3.414E-04
-3.87928E-03,-5.367E-04
-3.87908E-03,-9.273E-04
-3.87888E-03,-1.904E-03
-3.87868E-03,-5.367E-04
-3.87847E-03,-1.513E-03
-3.87827E-03,-1.318E-03
-3.87807E-03,-9.273E-04
-3.87787E-03,-1.904E-03
-3.87767E-03,-1.709E-03
-3.87747E-03,-1.513E-03
-3.87726E-03,-1.123E-03
-3.87706E-03,-1.461E-04
-3.87686E-03,-1.513E-03
-3.87666E-03,-9.273E-04
-3.87646E-03,-7.320E-04
-3.87626E-03,-1.318E-03
-3.87605E-03,-1.318E-03
-3.87585E-03,-7.320E-04
-3.87565E-03,-7.320E-04
-3.87545E-03,-9.273E-04
-3.87525E-03,-1.513E-03
-3.87505E-03,-1.461E-04
-3.87484E-03,-1.123E-03
-3.87464E-03,-1.123E-03
-3.87444E-03,-9.273E-04
-3.87424E-03,-1.461E-04
-3.87404E-03,-1.709E-03
-3.87384E-03,-1.123E-03
-3.87364E-03,-9.273E-04
-3.87343E-03,-1.904E-03
-3.87323E-03,-1.318E-03
-3.87303E-03,-1.904E-03
-3.87283E-03,-2.295E-03
-3.87263E-03,-1.318E-03
-3.87243E-03,-1.513E-03
-3.87222E-03,-1.513E-03
-3.87202E-03,-2.099E-03
-3.87182E-03,-1.318E-03
-3.87162E-03,-1.709E-03
-3.87142E-03,-2.099E-03
-3.87122E-03,-1.513E-03
-3.87101E-03,-2.099E-03
-3.87081E-03,-1.904E-03
-3.87061E-03,-1.513E-03
-3.87041E-03,-1.513E-03
-3.87021E-03,-1.904E-03
-3.87001E-03,-2.099E-03
-3.86980E-03,-1.709E-03
-3.86960E-03,-1.318E-03
-3.86940E-03,-1.123E-03
-3.86920E-03,-1.123E-03
-3.86900E-03,-1.318E-03
-3.86880E-03,-1.123E-03
-3.86860E-03,-5.367E-04
-3.86839E-03,-1.513E-03
-3.86819E-03,-1.513E-03
-3.86799E-03,-1.123E-03
-3.86779E-03,-1.513E-03
-3.86759E-03,-1.318E-03
-3.86739E-03,-1.123E-03
-3.86718E-03,-2.490E-03
-3.86698E-03,-1.318E-03
-3.86678E-03,-1.904E-03
-3.86658E-03,-7.320E-04
-3.86638E-03,-2.099E-03
-3.86618E-03,-1.318E-03
-3.86597E-03,-1.123E-03
-3.86577E-03,-3.414E-04
-3.86557E-03,-1.904E-03
-3.86537E-03,-1.123E-03
-3.86517E-03,-7.320E-04
-3.86497E-03,-3.414E-04
-3.86476E-03,-2.099E-03
-3.86456E-03,-1.904E-03
-3.86436E-03,-1.709E-03
-3.86416E-03,-1.513E-03
-3.86396E-03,-1.709E-03
-3.86376E-03,-9.273E-04
-3.86356E-03,-5.367E-04
-3.86335E-03,-7.320E-04
-3.86315E-03,-3.414E-04
-3.86295E-03,-9.273E-04
-3.86275E-03,-1.123E-03
-3.86255E-03,-1.123E-03
-3.86235E-03,-1.123E-03
-3.86214E-03,-7.320E-04
-3.86194E-03,-9.273E-04
-3.86174E-03,-1.513E-03
-3.86154E-03,-2.099E-03
-3.86134E-03,-1.709E-03
-3.86114E-03,-2.099E-03
-3.86093E-03,-2.099E-03
-3.86073E-03,-1.318E-03
-3.86053E-03,-2.099E-03
-3.86033E-03,-2.099E-03
-3.86013E-03,-1.709E-03
-3.85993E-03,-1.318E-03
-3.85972E-03,-1.513E-03
-3.85952E-03,-1.123E-03
-3.85932E-03,-1.318E-03
-3.85912E-03,-1.123E-03
-3.85892E-03,-3.414E-04
-3.85872E-03,2.445E-04
-3.85852E-03,-1.461E-04
-3.85831E-03,-1.461E-04
-3.85811E-03,2.445E-04
-3.85791E-03,8.305E-04
-3.85771E-03,-3.414E-04
-3.85751E-03,-3.414E-04
-3.85731E-03,8.305E-04
-3.85710E-03,4.922E-05
-3.85690E-03,-5.367E-04
-3.85670E-03,4.398E-04
-3.85650E-03,-5.367E-04
-3.85630E-03,4.922E-05
-3.85610E-03,-3.414E-04
-3.85589E-03,-1.461E-04
-3.85569E-03,4.922E-05
-3.85549E-03,1.221E-03
-3.85529E-03,4.398E-04
-3.85509E-03,-5.367E-04
-3.85489E-03,4.922E-05
-3.85468E-03,6.352E-04
-3.85448E-03,-1.318E-03
-3.85428E-03,4.922E-05
-3.85408E-03,-7.320E-04
-3.85388E-03,2.445E-04
-3.85368E-03,-1.461E-04
-3.85348E-03,-5.367E-04
-3.85327E-03,-1.123E-03
-3.85307E-03,-3.414E-04
-3.85287E-03,-9.273E-04
-3.85267E-03,-9.273E-04
-3.85247E-03,-1.709E-03
-3.85227E-03,-5.367E-04
-3.85206E-03,-2.099E-03
-3.85186E-03,-1.513E-03
-3.85166E-03,-2.099E-03
-3.85146E-03,-1.123E-03
-3.85126E-03,-1.513E-03
-3.85106E-03,-7.320E-04
-3.85085E-03,-7.320E-04
-3.85065E-03,-1.709E-03
-3.85045E-03,-2.490E-03
-3.85025E-03,-1.904E-03
-3.85005E-03,-1.904E-03
-3.84985E-03,-1.318E-03
-3.84964E-03,-2.099E-03
-3.84944E-03,-1.318E-03
-3.84924E-03,-2.099E-03
-3.84904E-03,-1.513E-03
-3.84884E-03,-7.320E-04
-3.84864E-03,-5.367E-04
-3.84844E-03,-1.318E-03
-3.84823E-03,-9.273E-04
-3.84803E-03,-9.273E-04
-3.84783E-03,-1.513E-03
-3.84763E-03,-1.513E-03
-3.84743E-03,-1.318E-03
-3.84723E-03,-1.513E-03
-3.84702E-03,-1.709E-03
-3.84682E-03,-2.099E-03
-3.84662E-03,-1.513E-03
-3.84642E-03,-7.320E-04
-3.84622E-03,-7.320E-04
-3.84602E-03,-7.320E-04
-3.84581E-03,-1.461E-04
-3.84561E-03,-5.367E-04
-3.84541E-03,-1.709E-03
-3.84521E-03,-1.318E-03
-3.84501E-03,-1.513E-03
